ID,Type,Age,Sex,I have previous experience with electric vehicles,I have previous experience with being in Virtual Reality,It was easy to drive the entire distance without running out of battery,"I was sure from the beginning, that I would reach the destination without running out of battery","How sure I was about reaching the destination, without running out of battery, changed throughout the drive",I found the dashboard to be reliable,I found the dashboard useful for completing the task,The displayed remaining distance agreed with the distance I could drive,I felt I understood what affected the remaining distance displayed by the dashboard,I felt I could influence the displayed remaining distance,The dashboard was difficult to understand,I felt the dashboard lacked information for completing the task
33,Control Group,26,M,5,6,1,6,7,5,4,6,5,4,3,5
34,Control Group,42,M,2,1,6,1,3,3,6,5,6,5,4,5
35,Control Group,47,M,4,1,5,2,3,5,4,4,3,4,3,5
36,Control Group,25,M,1,6,4,2,7,3,6,5,7,6,4,3
37,Control Group,20,M,2,2,4,3,5,6,6,4,1,5,2,4
38,Control Group,27,M,1,1,2,1,2,5,7,6,7,7,1,1
39,Control Group,23,M,2,2,5,3,5,6,6,4,5,6,1,5
40,Control Group,23,M,2,5,3,4,6,4,5,5,7,5,6,2
41,Control Group,25,M,2,6,3,3,5,6,6,5,6,7,2,2
42,Control Group,60,F,1,3,3,3,7,7,7,3,7,7,1,7
43,Control Group,30,M,2,6,2,3,3,5,6,6,1,1,6,6
44,Control Group,36,M,1,4,5,2,6,4,7,7,7,5,1,1
45,Control Group,22,F,2,1,1,1,6,5,4,4,3,1,3,4
46,Control Group,26,M,1,2,3,4,5,5,6,5,6,5,3,4
47,Control Group,47,M,3,2,5,3,6,4,4,4,5,6,3,6
48,Control Group,25,M,5,3,3,4,5,5,6,5,5,6,1,1
